SW1,SW2
0	76	15000	0
2500	2576	15000	0
5000	5076	15000	0
7500	7576	15000	0
10000	10076	15000	0
12500	12576	15000	0
76	176	15000	0
2576	2676	15000	0
5076	5176	15000	0
7576	7676	15000	0
10076	10176	15000	0
12576	12676	15000	0
176	236	15000	0
2676	2736	15000	0
5176	5236	15000	0
7676	7736	15000	0
10176	10236	15000	0
12676	12736	15000	0
236	299	15000	0
2736	2799	15000	0
5236	5299	15000	0
7736	7799	15000	0
10236	10299	15000	0
12736	12799	15000	0

SW1,ES2
0	68	15000	0
2500	2568	15000	0
5000	5068	15000	0
7500	7568	15000	0
10000	10068	15000	0
12500	12568	15000	0
87	174	15000	0
2587	2674	15000	0
5087	5174	15000	0
7587	7674	15000	0
10087	10174	15000	0
12587	12674	15000	0
174	254	15000	0
2674	2754	15000	0
5174	5254	15000	0
7674	7754	15000	0
10174	10254	15000	0
12674	12754	15000	0

SW1,ES1
0	46	15000	0
1000	1046	15000	0
2000	2046	15000	0
3000	3046	15000	0
4000	4046	15000	0
5000	5046	15000	0
6000	6046	15000	0
7000	7046	15000	0
8000	8046	15000	0
9000	9046	15000	0
10000	10046	15000	0
11000	11046	15000	0
12000	12046	15000	0
13000	13046	15000	0
14000	14046	15000	0
230	293	15000	0
1730	1793	15000	0
3230	3293	15000	0
4730	4793	15000	0
6230	6293	15000	0
7730	7793	15000	0
9230	9293	15000	0
10730	10793	15000	0
12230	12293	15000	0
13730	13793	15000	0

SW2,ES3
76	152	15000	0
2576	2652	15000	0
5076	5152	15000	0
7576	7652	15000	0
10076	10152	15000	0
12576	12652	15000	0
176	276	15000	0
2676	2776	15000	0
5176	5276	15000	0
7676	7776	15000	0
10176	10276	15000	0
12676	12776	15000	0
276	336	15000	0
2776	2836	15000	0
5276	5336	15000	0
7776	7836	15000	0
10276	10336	15000	0
12776	12836	15000	0
336	399	15000	0
2836	2899	15000	0
5336	5399	15000	0
7836	7899	15000	0
10336	10399	15000	0
12836	12899	15000	0

SW2,SW1
167	230	15000	0
1667	1730	15000	0
3167	3230	15000	0
4667	4730	15000	0
6167	6230	15000	0
7667	7730	15000	0
9167	9230	15000	0
10667	10730	15000	0
12167	12230	15000	0
13667	13730	15000	0
0	87	15000	0
2500	2587	15000	0
5000	5087	15000	0
7500	7587	15000	0
10000	10087	15000	0
12500	12587	15000	0
87	167	15000	0
2587	2667	15000	0
5087	5167	15000	0
7587	7667	15000	0
10087	10167	15000	0
12587	12667	15000	0
#
