SW1,SW2
0	77	15000	0
2500	2577	15000	0
5000	5077	15000	0
7500	7577	15000	0
10000	10077	15000	0
12500	12577	15000	0
77	178	15000	0
2577	2678	15000	0
5077	5178	15000	0
7577	7678	15000	0
10077	10178	15000	0
12577	12678	15000	0
178	239	15000	0
2678	2739	15000	0
5178	5239	15000	0
7678	7739	15000	0
10178	10239	15000	0
12678	12739	15000	0
279	343	15000	0
2779	2843	15000	0
5279	5343	15000	0
7779	7843	15000	0
10279	10343	15000	0
12779	12843	15000	0

SW1,ES2
0	69	15000	0
2500	2569	15000	0
5000	5069	15000	0
7500	7569	15000	0
10000	10069	15000	0
12500	12569	15000	0
153	242	15000	0
2653	2742	15000	0
5153	5242	15000	0
7653	7742	15000	0
10153	10242	15000	0
12653	12742	15000	0
242	323	15000	0
2742	2823	15000	0
5242	5323	15000	0
7742	7823	15000	0
10242	10323	15000	0
12742	12823	15000	0

SW1,ES1
0	47	15000	0
1000	1047	15000	0
2000	2047	15000	0
3000	3047	15000	0
4000	4047	15000	0
5000	5047	15000	0
6000	6047	15000	0
7000	7047	15000	0
8000	8047	15000	0
9000	9047	15000	0
10000	10047	15000	0
11000	11047	15000	0
12000	12047	15000	0
13000	13047	15000	0
14000	14047	15000	0
64	128	15000	0
1564	1628	15000	0
3064	3128	15000	0
4564	4628	15000	0
6064	6128	15000	0
7564	7628	15000	0
9064	9128	15000	0
10564	10628	15000	0
12064	12128	15000	0
13564	13628	15000	0

SW2,ES3
77	154	15000	0
2577	2654	15000	0
5077	5154	15000	0
7577	7654	15000	0
10077	10154	15000	0
12577	12654	15000	0
178	279	15000	0
2678	2779	15000	0
5178	5279	15000	0
7678	7779	15000	0
10178	10279	15000	0
12678	12779	15000	0
279	340	15000	0
2779	2840	15000	0
5279	5340	15000	0
7779	7840	15000	0
10279	10340	15000	0
12779	12840	15000	0
343	407	15000	0
2843	2907	15000	0
5343	5407	15000	0
7843	7907	15000	0
10343	10407	15000	0
12843	12907	15000	0

SW2,SW1
0	64	15000	0
1500	1564	15000	0
3000	3064	15000	0
4500	4564	15000	0
6000	6064	15000	0
7500	7564	15000	0
9000	9064	15000	0
10500	10564	15000	0
12000	12064	15000	0
13500	13564	15000	0
64	153	15000	0
2564	2653	15000	0
5064	5153	15000	0
7564	7653	15000	0
10064	10153	15000	0
12564	12653	15000	0
153	234	15000	0
2653	2734	15000	0
5153	5234	15000	0
7653	7734	15000	0
10153	10234	15000	0
12653	12734	15000	0
#
